Time;Concentration
1.0587585569978382E7;7.099929869382113E-24
1.0687585569978382E7;1.1161550864744766E-23
1.0787585569978382E7;1.744049519119268E-23
1.0887585569978382E7;2.708935758914763E-23
1.0987585569978382E7;4.1829760842020824E-23
1.1087585569978382E7;6.421837682085921E-23
1.1187585569978382E7;9.803030717800561E-23
1.1287585569978382E7;1.4880848168001611E-22
1.1387585569978382E7;2.2464659738690423E-22
1.1487585569978382E7;3.372987850325049E-22
1.1587585569978382E7;5.037439090805732E-22
1.1687585569978382E7;7.483791293669571E-22
1.1787585569978382E7;1.1060798917854872E-21
1.1887585569978382E7;1.6264467946101315E-21
1.1987585569978382E7;2.379670108500728E-21
1.2087585569978382E7;3.464588167723105E-21
1.2187585569978382E7;5.019706625675938E-21
1.2287585569978382E7;7.238194601231881E-21
1.2387585569978382E7;1.0388197279015956E-20
1.2487585569978382E7;1.4840222892453743E-20
1.2587585569978382E7;2.1103900524854638E-20
1.2687585569978382E7;2.9877095185364165E-20
1.2787585569978382E7;4.2111246865794064E-20
1.2887585569978382E7;5.909791831435094E-20
1.2987585569978382E7;8.258295022940819E-20
1.3087585569978382E7;1.149164032970371E-19
1.3187585569978382E7;1.5924869983637587E-19
1.3287585569978382E7;2.197861674575323E-19
1.3387585569978382E7;3.0212265775461883E-19
1.3487585569978382E7;4.136682139731371E-19
1.3587585569978382E7;5.6420107093500935E-19
1.3687585569978382E7;7.6657579994226E-19
1.3787585569978382E7;1.0376284114668185E-18
1.3887585569978382E7;1.3993289946421872E-18
1.3987585569978382E7;1.880244352057288E-18
1.4087585569978382E7;2.5173874875057156E-18
1.4187585569978382E7;3.3585481972013018E-18
1.4287585569978382E7;4.465219952528907E-18
1.4387585569978382E7;5.91626338289199E-18
1.4487585569978382E7;7.812476707416288E-18
1.4587585569978382E7;1.0282279271846353E-17
1.4687585569978382E7;1.3488756893991207E-17
1.4787585569978382E7;1.7638368118630983E-17
1.4887585569978382E7;2.2991669996852735E-17
1.4987585569978382E7;2.9876492073240013E-17
1.5087585569978382E7;3.87040695153427E-17
1.5187585569978382E7;4.998874259136368E-17
1.5287585569978382E7;6.437194206263004E-17
1.5387585569978382E7;8.265131082852017E-17
1.5487585569978382E7;1.0581596394050855E-16
1.5587585569978382E7;1.3508906478686631E-16
1.5687585569978382E7;1.7197909806458992E-16
1.5787585569978382E7;2.1834145367763887E-16
1.5887585569978382E7;2.7645220388871797E-16
1.5987585569978382E7;3.490962632733932E-16
1.6087585569978382E7;4.3967247208718953E-16
1.6187585569978382E7;5.523185438348046E-16
1.6287585569978382E7;6.920592729022804E-16
1.6387585569978382E7;8.649819143860198E-16
1.6487585569978382E7;1.0784432325980874E-15
1.6587585569978382E7;1.3413133746111161E-15
1.6687585569978382E7;1.6642624687202788E-15
1.6787585569978382E7;2.060096683593374E-15
1.6887585569978382E7;2.5441514215901853E-15
1.6987585569978382E7;3.1347503694136273E-15
1.7087585569978382E7;3.853740301809012E-15
1.7187585569978382E7;4.7271128411292385E-15
1.7287585569978382E7;5.785725829708083E-15
1.7387585569978382E7;7.066138586430413E-15
